X,logFC,AveExpr,t,P.Value,adj.P.Val,B
DEFA8,0.994001902,8.125725844,2.974331399,0.0081107,0.11474709,-2.66746322
SARNP,-0.527015431,8.371815194,-2.971160017,0.006828521,0.102982418,-2.671912243
P4HB,-0.654877658,10.24937761,-2.967733653,0.006883532,0.103287752,-2.679338288
IQSEC1,-0.499506788,6.801059359,-2.959451733,0.007233178,0.107763745,-2.694979772
PHOSPHO1,-0.675493598,8.021696612,-2.94529704,0.007254375,0.107763745,-2.727874397
TXN,-0.724721721,12.29379312,-2.942290193,0.007305502,0.107983314,-2.734366835
HYOU1,-0.669311093,6.413100997,-2.938157827,0.007597486,0.110647702,-2.740410783
NIBAN2,-0.473905143,9.430089639,-2.936848166,0.007398912,0.108822605,-2.746109997
RPS26,0.773828682,9.911410411,2.931732661,0.007487756,0.109586815,-2.75713989
CAST,-1.054352259,6.723198808,-2.9281494,0.007774725,0.11212965,-2.761716709
TMEM263,-0.533097021,7.278250893,-2.916539733,0.007757668,0.11212965,-2.789848486
AOX1,0.58530184,5.289291978,2.91007783,0.009322998,0.119864546,-2.796043718
MARK2,0.584311411,5.907268645,2.910536619,0.009723321,0.122927597,-2.798238052
HSP90B1,-0.576642753,12.1960489,-2.904965889,0.00796949,0.113833436,-2.814715045
GSTO1,-0.498614549,10.34350116,-2.901330428,0.008037156,0.114250676,-2.822516781
AP1S2,-0.669405852,6.796146863,-2.893675144,0.008676221,0.115076132,-2.833443438
PDIA6,-0.465783503,10.27847656,-2.894693821,0.008162098,0.114926977,-2.836747713
ECM2,-0.836584502,9.016168114,-2.889733274,0.008256692,0.114963509,-2.847375091
UXS1,0.778072469,6.966264915,2.884641458,0.00885548,0.116931689,-2.847647518
TRIM47,-0.44836284,7.771887833,-2.889082064,0.008269188,0.114963509,-2.848769621
CAPS,-0.578293182,7.821291407,-2.885265627,0.008342781,0.114963509,-2.856939452
TSG101,-0.413517964,7.369461365,-2.884515401,0.008357321,0.114963509,-2.858544885
