"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"QNG1",-0.253397424230314,7.73723872892068,-0.957494130175854,0.349206933757828,0.83750470618746,-5.29858768542237
"TBL2",0.440951523014961,7.30524573546231,0.957314261033004,0.349295574990055,0.83750470618746,-5.29874153642685
"TPP1",0.454597640391471,8.42170590683107,0.909001285492191,0.374168283781318,0.847024354662101,-5.29956862464438
"CD2BP2",0.218373820580658,5.73425564543966,0.372049203095335,0.716337700924923,0.94134967014499,-5.29973375174646
"NME4",-0.42015058502272,5.71088979904635,-0.808890751133678,0.429747199027371,0.854934279656272,-5.3006162476892
"BAZ1B",0.442557260329931,6.84328778878446,0.888450367742905,0.385402459757125,0.849485434844442,-5.30099156625802
"CHMP1A",0.495716357071007,7.48926280214881,0.879314376378144,0.390210730082461,0.852057774193103,-5.30111862249145
"GTF2B",0.311693602343285,5.90762986270585,0.59677047321863,0.560181086787118,0.897267051376712,-5.30195074380504
"GPHN",-0.305543433084313,7.41581505168038,-0.895883941770563,0.381519153070001,0.847024354662101,-5.30227344771639
"DDX21",0.604890416377066,6.54859018829702,0.805273460223397,0.432459205684825,0.854934279656272,-5.30255071668176
"PID1",0.541454592803377,5.58414336497835,0.830321475553463,0.417858825253907,0.854934279656272,-5.30374251792004
"GDF15",0.645090294521736,6.21948408405501,0.903467364738168,0.377026158597898,0.847024354662101,-5.30402176190091
"PITPNB",0.286146933452569,7.39430359854146,0.920586986909806,0.368231928572324,0.844021380446105,-5.30521193992263
"NUP98",-0.169949391554497,6.86000080194455,-0.352700013933395,0.730425586337588,0.946264662245577,-5.30559923170175
"COL1A1",-0.68298702454559,12.4914441444839,-0.949189286388498,0.353315618984456,0.83750470618746,-5.30566386310276
"GSS",-0.33356538306426,8.45117100343372,-0.948983868490324,0.353417660088531,0.83750470618746,-5.30583818068494
"ARFIP1",0.364025078475576,6.97827983901264,0.900571005251435,0.379084006063949,0.847024354662101,-5.3058452449246
"STX12",-0.372282903253922,6.57954769462529,-0.919305990437652,0.368885175427152,0.844021380446105,-5.30626160110747
"LMAN2",-0.436232416091574,7.93786099572827,-0.948427783449987,0.353693994964768,0.83750470618746,-5.30630990227702
