"","c105_old","c111_old","c151_young","c152_young","c154_young","c169_young","c170_young","c171_young","c172_old","c173_old","c175_young","c177_young","c50_old","c54_old","c61_old","c82_old","c83_young","c86_old","c95_old","c96_young"
"HSP90AA1",9.96041653089999,9.89399953536483,10.0598902717035,10.2702371214375,9.71207391763182,10.0261296832211,9.68524967940315,9.84186497848268,9.94862398391436,9.86620715495748,9.81797256715428,9.69272028485028,9.873199622229,9.97433943923156,9.51783945695857,9.74553623262138,9.75850016242654,9.49649430117026,10.2436649163778,10.2253152506538
"LIMCH1",6.89822441284893,6.65288572732117,6.82026222595853,6.62056779797277,6.42189771073585,6.55315510888853,7.3108798815392,6.15771093869923,6.44907683343976,6.8338412412161,6.37690952661318,6.7883441471993,4.02564487354894,6.27176052708877,6.47073223288883,6.20707702411875,7.24322527131737,6.82506183677981,6.41469519959789,6.13386761300435
"CTSZ",9.17799506485506,8.74289575509098,9.36657177849241,8.82332149567563,8.98575961781586,9.1210461486696,9.19424252271796,8.13579112848174,8.20539284614027,10.0461854624795,9.03938951876388,9.46482655651015,8.42051649014285,8.92914565993159,8.84144698943502,9.67194852226113,8.93995401289004,9.73962990344432,8.13133521948079,9.09927724930514
"DDAH1",11.0847341065784,10.3866385839792,11.4862579267889,11.4414629373919,10.3690860430801,10.5809219093064,10.8195075793814,10.0776900840489,10.1997410989374,11.0352922362858,11.031048475226,11.3684947461848,9.19039701766833,10.3191300944898,9.94880120451203,10.9663957792092,11.3324688975522,10.9363797708195,10.399730342451,10.8213068100139
"TAOK1",5.65357239183865,5.62199749304113,5.02111617015161,4.9589399217112,5.6670785018115,5.11461834631573,5.38279203406407,5.58655072312522,5.73084242421336,4.63930936451735,NA,5.01855473666061,NA,4.68570893746139,5.0543854317,NA,5.6998477020075,5.19267672282717,5.42808604027054,5.32690791688356
"RANBP1",8.74327199297511,8.63334269903611,8.69870484246779,8.80125319379783,8.28469994489554,8.65197393884559,9.01506838852295,7.86159746334261,8.65362054748002,8.5981046586345,8.36473758129414,6.76860897871709,7.75688557694415,8.63343428550376,7.54212694812968,8.64387022182028,9.1932860505609,8.50328565098199,8.65961876940181,8.99139676722205
"GDF15",7.34337005520582,8.04009789682419,5.73973553331041,6.11091126934112,4.40129345998926,5.55681712938182,6.87726811261249,NA,6.4023153584406,6.87838458715773,5.44762822198426,5.00433172980079,5.83266140212455,5.9079784737064,5.38676109244534,7.40844460855224,5.32302155865446,6.39399451148954,7.64982898202242,6.3496282095457
"ARHGEF1",9.08195302159726,8.43554646412544,9.02989170572402,8.48728451601188,8.94827075561147,8.8700117961934,8.69783792973618,8.3354481615177,8.85394471011878,8.70537355596808,9.33317910080135,8.60762179116326,NA,8.51662039880974,7.83840472994084,8.5161069975365,8.99911204035774,9.07541890793002,9.19349304028458,8.32565033292685
"GFER",6.69677162550548,NA,6.22569469224607,5.31145846168851,NA,NA,6.22214671105976,NA,6.09272983036993,6.82769168561457,NA,5.86600574932462,NA,2.84296561348575,NA,NA,6.935124813714,6.31121472588964,NA,6.35227115920877
"ACADS",4.89308580447487,5.29427953913844,5.94510825936904,NA,5.73475558610298,4.87883375816175,5.59294988490359,NA,5.30487769640891,5.83848533553656,NA,5.94743533537428,NA,5.68669390686654,NA,5.49986962551302,5.36817885911975,5.43574470951958,5.5020914392817,5.80304454153746
"SMCHD1",6.38320659209403,5.90893351928365,5.8560432052379,NA,6.34456792917551,NA,5.79761522661409,4.42158146190274,6.1076896794505,5.80383464741374,5.51128157193767,5.82109224437093,5.30444864922312,5.63812297898102,5.5717072919088,6.29497441828101,5.43735681170252,6.29569040482941,5.87908906279663,5.56040455599108
"FBP1",6.91237534337022,7.00604007073641,6.94489695306602,NA,4.5577900959732,NA,7.11676152002034,NA,5.34954919435657,6.87064755440575,6.84989298721759,NA,7.00307845282435,7.05737881200588,7.06637499798668,7.39947117628546,6.30940297285424,7.01993978047298,6.678613322128,6.69441710481731
"CYFIP1",8.56543066224443,8.19958219044175,8.18637193450585,8.35519677063686,8.48856256186767,7.84974186049129,7.57663393421359,7.29540406286804,7.91589418354366,7.43451940256453,8.69910576883457,7.74892972051759,7.2545837473817,8.12629573844503,7.85193679239303,8.15503695911461,7.60649734858825,8.22239801891833,8.32816579182695,7.97798701931932
"ANK3",NA,5.53837251611612,5.23296228317455,NA,5.75175165724903,5.82264965532053,6.24302966547353,6.20177426668177,6.19606590649037,6.02336975717791,5.93133027743854,5.42049268615918,NA,5.99755877997765,5.72325615430063,5.55808854306153,5.78811343283979,4.63547646366709,5.90759997276144,NA
"HAMP",6.32759577009132,9.57855683340593,7.43878208678136,6.37846709573312,NA,7.52324712776875,8.30065081613513,4.39304545835566,8.20154678292451,7.90610651893214,6.0714038241319,8.11013104797708,NA,9.38116843774064,8.67101109221832,8.83913891372584,7.22598242447794,9.10476820668022,8.86216914570691,7.72392213116285
